,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,City,Date
0,12:54 AM,66ʡF,59ʡF,78ʡ%,SE,6ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Fair,PHOG,1/4/2024
1,1:54 AM,65ʡF,59ʡF,81ʡ%,SE,8ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair,PHOG,1/4/2024
2,2:54 AM,65ʡF,59ʡF,81ʡ%,SSE,5ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Fair,PHOG,1/4/2024
3,3:54 AM,64ʡF,59ʡF,84ʡ%,S,3ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Fair,PHOG,1/4/2024
4,4:54 AM,65ʡF,58ʡF,78ʡ%,CALM,0ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fair,PHOG,1/4/2024
5,5:54 AM,64ʡF,58ʡF,80ʡ%,E,7ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Fair,PHOG,1/4/2024
6,6:54 AM,64ʡF,59ʡF,84ʡ%,ESE,10ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Fair,PHOG,1/4/2024
7,7:54 AM,64ʡF,58ʡF,80ʡ%,VAR,6ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Fair,PHOG,1/4/2024
8,8:54 AM,73ʡF,62ʡF,68ʡ%,W,5ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Fair,PHOG,1/4/2024
9,9:54 AM,78ʡF,63ʡF,60ʡ%,VAR,3ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Partly Cloudy,PHOG,1/4/2024
10,10:54 AM,79ʡF,62ʡF,56ʡ%,S,6ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Fair,PHOG,1/4/2024
11,11:54 AM,81ʡF,62ʡF,52ʡ%,NNW,3ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Fair,PHOG,1/4/2024
12,12:54 PM,84ʡF,65ʡF,53ʡ%,VAR,5ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Fair,PHOG,1/4/2024
13,1:54 PM,83ʡF,64ʡF,53ʡ%,E,10ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Fair,PHOG,1/4/2024
14,2:54 PM,85ʡF,65ʡF,51ʡ%,NE,10ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Partly Cloudy,PHOG,1/4/2024
15,3:54 PM,83ʡF,65ʡF,54ʡ%,N,10ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Fair,PHOG,1/4/2024
16,4:54 PM,79ʡF,65ʡF,62ʡ%,E,9ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Fair,PHOG,1/4/2024
17,5:54 PM,76ʡF,63ʡF,64ʡ%,VAR,6ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Cloudy,PHOG,1/4/2024
18,6:54 PM,76ʡF,64ʡF,67ʡ%,CALM,0ʡmph,0ʡmph,29.93ʡin,0.0ʡin,Partly Cloudy,PHOG,1/4/2024
19,7:54 PM,75ʡF,65ʡF,71ʡ%,CALM,0ʡmph,0ʡmph,29.96ʡin,0.0ʡin,Cloudy,PHOG,1/4/2024
20,8:54 PM,74ʡF,65ʡF,73ʡ%,SSW,3ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Cloudy,PHOG,1/4/2024
21,9:54 PM,73ʡF,65ʡF,76ʡ%,SE,5ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Mostly Cloudy,PHOG,1/4/2024
22,10:54 PM,72ʡF,65ʡF,78ʡ%,CALM,0ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Mostly Cloudy,PHOG,1/4/2024
23,11:54 PM,72ʡF,62ʡF,71ʡ%,E,5ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Fair,PHOG,1/4/2024
24,,,,,,,,,,,PHOG,1/4/2024
0,12:54 AM,72ʡF,63ʡF,73ʡ%,W,5ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Cloudy,PHOG,1/5/2024
1,1:54 AM,69ʡF,63ʡF,81ʡ%,SSE,7ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Mostly Cloudy,PHOG,1/5/2024
2,2:54 AM,68ʡF,63ʡF,84ʡ%,ESE,3ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Partly Cloudy,PHOG,1/5/2024
3,3:54 AM,65ʡF,61ʡF,87ʡ%,SSW,7ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Fair,PHOG,1/5/2024
4,4:54 AM,68ʡF,63ʡF,84ʡ%,E,7ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fair,PHOG,1/5/2024
5,5:54 AM,64ʡF,61ʡF,90ʡ%,S,8ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fair,PHOG,1/5/2024
6,6:54 AM,64ʡF,60ʡF,87ʡ%,S,3ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fair,PHOG,1/5/2024
7,7:54 AM,69ʡF,61ʡF,75ʡ%,SE,3ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Fair,PHOG,1/5/2024
8,8:54 AM,76ʡF,64ʡF,67ʡ%,CALM,0ʡmph,0ʡmph,30.02ʡin,0.0ʡin,Fair,PHOG,1/5/2024
9,9:54 AM,79ʡF,64ʡF,60ʡ%,WNW,3ʡmph,0ʡmph,30.02ʡin,0.0ʡin,Fair,PHOG,1/5/2024
10,10:54 AM,83ʡF,61ʡF,47ʡ%,CALM,0ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair,PHOG,1/5/2024
11,11:54 AM,84ʡF,62ʡF,47ʡ%,N,9ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Fair,PHOG,1/5/2024
12,12:54 PM,85ʡF,63ʡF,48ʡ%,N,13ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Fair,PHOG,1/5/2024
13,1:54 PM,84ʡF,65ʡF,53ʡ%,N,12ʡmph,18ʡmph,29.94ʡin,0.0ʡin,Partly Cloudy,PHOG,1/5/2024
14,2:54 PM,83ʡF,65ʡF,54ʡ%,NNE,14ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Partly Cloudy,PHOG,1/5/2024
15,3:54 PM,81ʡF,64ʡF,56ʡ%,NNW,8ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Partly Cloudy,PHOG,1/5/2024
16,4:54 PM,80ʡF,63ʡF,56ʡ%,W,5ʡmph,0ʡmph,29.96ʡin,0.0ʡin,Partly Cloudy,PHOG,1/5/2024
17,5:54 PM,77ʡF,63ʡF,62ʡ%,W,7ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fair,PHOG,1/5/2024
18,6:54 PM,75ʡF,64ʡF,69ʡ%,E,7ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Mostly Cloudy,PHOG,1/5/2024
19,7:54 PM,74ʡF,64ʡF,71ʡ%,NE,5ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair,PHOG,1/5/2024
20,8:54 PM,72ʡF,63ʡF,73ʡ%,ESE,6ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair,PHOG,1/5/2024
21,9:54 PM,69ʡF,62ʡF,78ʡ%,ESE,6ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair,PHOG,1/5/2024
22,10:54 PM,69ʡF,61ʡF,75ʡ%,CALM,0ʡmph,0ʡmph,30.02ʡin,0.0ʡin,Fair,PHOG,1/5/2024
23,11:54 PM,66ʡF,59ʡF,78ʡ%,SE,6ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair,PHOG,1/5/2024
24,,,,,,,,,,,PHOG,1/5/2024
0,12:54 AM,65ʡF,60ʡF,84ʡ%,ESE,8ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Fair,PHOG,1/6/2024
1,1:54 AM,64ʡF,59ʡF,84ʡ%,SE,6ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Fair,PHOG,1/6/2024
2,2:54 AM,64ʡF,60ʡF,87ʡ%,SSE,8ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fair,PHOG,1/6/2024
3,3:54 AM,67ʡF,58ʡF,73ʡ%,SW,3ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Fair,PHOG,1/6/2024
4,4:54 AM,65ʡF,58ʡF,78ʡ%,ESE,6ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fair,PHOG,1/6/2024
5,5:54 AM,64ʡF,58ʡF,80ʡ%,SE,5ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Fair,PHOG,1/6/2024
6,6:54 AM,64ʡF,58ʡF,80ʡ%,SE,9ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair,PHOG,1/6/2024
7,7:54 AM,68ʡF,60ʡF,76ʡ%,SSE,3ʡmph,0ʡmph,30.02ʡin,0.0ʡin,Fair,PHOG,1/6/2024
8,8:54 AM,75ʡF,63ʡF,66ʡ%,W,7ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair,PHOG,1/6/2024
9,9:54 AM,79ʡF,64ʡF,60ʡ%,VAR,3ʡmph,0ʡmph,30.02ʡin,0.0ʡin,Fair,PHOG,1/6/2024
10,10:54 AM,81ʡF,61ʡF,50ʡ%,S,5ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Fair,PHOG,1/6/2024
11,11:54 AM,83ʡF,62ʡF,49ʡ%,VAR,7ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Fair,PHOG,1/6/2024
12,12:54 PM,82ʡF,63ʡF,52ʡ%,ENE,14ʡmph,23ʡmph,29.95ʡin,0.0ʡin,Fair,PHOG,1/6/2024
13,1:54 PM,83ʡF,63ʡF,51ʡ%,ENE,9ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,PHOG,1/6/2024
14,2:54 PM,84ʡF,64ʡF,51ʡ%,N,14ʡmph,18ʡmph,29.92ʡin,0.0ʡin,Fair,PHOG,1/6/2024
15,3:54 PM,83ʡF,65ʡF,54ʡ%,NE,12ʡmph,18ʡmph,29.92ʡin,0.0ʡin,Fair,PHOG,1/6/2024
16,4:54 PM,81ʡF,64ʡF,56ʡ%,VAR,7ʡmph,0ʡmph,29.93ʡin,0.0ʡin,Fair,PHOG,1/6/2024
17,5:54 PM,78ʡF,65ʡF,64ʡ%,VAR,5ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Fair,PHOG,1/6/2024
18,6:54 PM,76ʡF,66ʡF,71ʡ%,WNW,6ʡmph,0ʡmph,29.96ʡin,0.0ʡin,Fair,PHOG,1/6/2024
19,7:54 PM,74ʡF,66ʡF,76ʡ%,W,7ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fair,PHOG,1/6/2024
20,8:54 PM,71ʡF,64ʡF,78ʡ%,ESE,5ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Fair,PHOG,1/6/2024
21,9:54 PM,68ʡF,63ʡF,84ʡ%,SSE,5ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Fair,PHOG,1/6/2024
22,10:54 PM,67ʡF,62ʡF,84ʡ%,SSE,5ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair,PHOG,1/6/2024
23,11:54 PM,70ʡF,63ʡF,78ʡ%,CALM,0ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Mostly Cloudy,PHOG,1/6/2024
24,,,,,,,,,,,PHOG,1/6/2024
0,12:54 AM,67ʡF,63ʡF,87ʡ%,CALM,0ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Mostly Cloudy,PHOG,1/7/2024
1,1:54 AM,66ʡF,63ʡF,90ʡ%,S,5ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Fair,PHOG,1/7/2024
2,2:54 AM,65ʡF,61ʡF,87ʡ%,SSE,5ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Fair,PHOG,1/7/2024
3,3:54 AM,63ʡF,60ʡF,90ʡ%,CALM,0ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Fair,PHOG,1/7/2024
4,4:54 AM,63ʡF,60ʡF,90ʡ%,SSE,7ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Fair,PHOG,1/7/2024
5,5:54 AM,65ʡF,60ʡF,84ʡ%,SE,8ʡmph,0ʡmph,29.96ʡin,0.0ʡin,Fair,PHOG,1/7/2024
6,6:54 AM,63ʡF,59ʡF,87ʡ%,CALM,0ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Fair,PHOG,1/7/2024
7,7:54 AM,69ʡF,63ʡF,81ʡ%,CALM,0ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fair,PHOG,1/7/2024
8,8:54 AM,74ʡF,65ʡF,73ʡ%,CALM,0ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fair,PHOG,1/7/2024
9,9:54 AM,77ʡF,66ʡF,69ʡ%,N,6ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fair,PHOG,1/7/2024
10,10:54 AM,79ʡF,66ʡF,64ʡ%,NW,8ʡmph,0ʡmph,29.96ʡin,0.0ʡin,Fair,PHOG,1/7/2024
11,11:54 AM,81ʡF,65ʡF,58ʡ%,N,7ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair,PHOG,1/7/2024
12,12:54 PM,81ʡF,66ʡF,60ʡ%,WNW,7ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,PHOG,1/7/2024
13,1:54 PM,84ʡF,65ʡF,53ʡ%,SSW,15ʡmph,21ʡmph,29.85ʡin,0.0ʡin,Fair,PHOG,1/7/2024
14,2:54 PM,83ʡF,67ʡF,58ʡ%,SSW,18ʡmph,0ʡmph,29.84ʡin,0.0ʡin,Partly Cloudy,PHOG,1/7/2024
15,3:54 PM,81ʡF,67ʡF,62ʡ%,NNW,8ʡmph,0ʡmph,29.84ʡin,0.0ʡin,Partly Cloudy,PHOG,1/7/2024
16,4:54 PM,80ʡF,66ʡF,62ʡ%,SW,10ʡmph,20ʡmph,29.85ʡin,0.0ʡin,Partly Cloudy,PHOG,1/7/2024
17,5:54 PM,77ʡF,65ʡF,66ʡ%,SSW,10ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Partly Cloudy,PHOG,1/7/2024
18,6:54 PM,76ʡF,66ʡF,71ʡ%,SSW,14ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Partly Cloudy,PHOG,1/7/2024
19,7:54 PM,75ʡF,67ʡF,76ʡ%,S,12ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Partly Cloudy,PHOG,1/7/2024
20,8:54 PM,75ʡF,68ʡF,79ʡ%,S,10ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Partly Cloudy,PHOG,1/7/2024
21,9:54 PM,73ʡF,70ʡF,90ʡ%,S,8ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Partly Cloudy,PHOG,1/7/2024
22,10:54 PM,73ʡF,70ʡF,90ʡ%,SSW,9ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Partly Cloudy,PHOG,1/7/2024
23,11:54 PM,73ʡF,69ʡF,87ʡ%,SSW,14ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Fair,PHOG,1/7/2024
24,,,,,,,,,,,PHOG,1/7/2024
0,12:53 AM,66ʡF,62ʡF,87ʡ%,CALM,0ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair,PHNL,1/11/2024
1,1:53 AM,66ʡF,62ʡF,87ʡ%,NNW,3ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Fair,PHNL,1/11/2024
2,2:53 AM,65ʡF,62ʡF,90ʡ%,CALM,0ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Fair,PHNL,1/11/2024
3,3:53 AM,64ʡF,61ʡF,90ʡ%,CALM,0ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Mostly Cloudy,PHNL,1/11/2024
4,4:53 AM,64ʡF,62ʡF,93ʡ%,CALM,0ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Partly Cloudy,PHNL,1/11/2024
5,5:53 AM,66ʡF,64ʡF,93ʡ%,CALM,0ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Mostly Cloudy,PHNL,1/11/2024
6,6:53 AM,65ʡF,64ʡF,97ʡ%,CALM,0ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Partly Cloudy,PHNL,1/11/2024
7,7:53 AM,66ʡF,62ʡF,87ʡ%,CALM,0ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Partly Cloudy,PHNL,1/11/2024
8,8:53 AM,70ʡF,64ʡF,81ʡ%,W,6ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Partly Cloudy,PHNL,1/11/2024
9,9:53 AM,75ʡF,58ʡF,55ʡ%,W,14ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Partly Cloudy,PHNL,1/11/2024
10,10:53 AM,77ʡF,60ʡF,56ʡ%,WSW,17ʡmph,26ʡmph,29.90ʡin,0.0ʡin,Partly Cloudy,PHNL,1/11/2024
11,11:53 AM,78ʡF,59ʡF,52ʡ%,WSW,20ʡmph,30ʡmph,29.87ʡin,0.0ʡin,Partly Cloudy,PHNL,1/11/2024
12,12:53 PM,79ʡF,60ʡF,52ʡ%,W,20ʡmph,31ʡmph,29.83ʡin,0.0ʡin,Partly Cloudy,PHNL,1/11/2024
13,1:53 PM,79ʡF,60ʡF,52ʡ%,WSW,21ʡmph,31ʡmph,29.79ʡin,0.0ʡin,Partly Cloudy / Windy,PHNL,1/11/2024
14,2:53 PM,76ʡF,61ʡF,60ʡ%,W,22ʡmph,31ʡmph,29.77ʡin,0.0ʡin,Mostly Cloudy / Windy,PHNL,1/11/2024
15,3:53 PM,69ʡF,63ʡF,81ʡ%,WNW,13ʡmph,0ʡmph,29.79ʡin,0.0ʡin,Mostly Cloudy,PHNL,1/11/2024
16,4:07 PM,67ʡF,61ʡF,81ʡ%,N,16ʡmph,33ʡmph,29.80ʡin,0.0ʡin,Cloudy,PHNL,1/11/2024
17,4:53 PM,65ʡF,61ʡF,87ʡ%,NNW,13ʡmph,25ʡmph,29.80ʡin,0.0ʡin,Light Rain,PHNL,1/11/2024
18,5:53 PM,64ʡF,61ʡF,90ʡ%,NNW,15ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Light Rain,PHNL,1/11/2024
19,6:53 PM,63ʡF,59ʡF,87ʡ%,NW,10ʡmph,23ʡmph,29.84ʡin,0.0ʡin,Light Rain,PHNL,1/11/2024
20,7:53 PM,64ʡF,58ʡF,80ʡ%,N,6ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Mostly Cloudy,PHNL,1/11/2024
21,8:53 PM,64ʡF,59ʡF,84ʡ%,NNW,7ʡmph,0ʡmph,29.84ʡin,0.0ʡin,Mostly Cloudy,PHNL,1/11/2024
22,9:53 PM,65ʡF,54ʡF,68ʡ%,NW,15ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Mostly Cloudy,PHNL,1/11/2024
23,10:53 PM,64ʡF,53ʡF,67ʡ%,N,12ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Fair,PHNL,1/11/2024
24,11:53 PM,64ʡF,53ʡF,67ʡ%,NNW,8ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Fair,PHNL,1/11/2024
25,,,,,,,,,,,PHNL,1/11/2024
0,12:53 AM,62ʡF,55ʡF,78ʡ%,N,9ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Fair,PHNL,1/12/2024
1,1:53 AM,63ʡF,54ʡF,72ʡ%,NNW,13ʡmph,20ʡmph,29.85ʡin,0.0ʡin,Fair,PHNL,1/12/2024
2,2:53 AM,62ʡF,55ʡF,78ʡ%,NNW,13ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,PHNL,1/12/2024
3,3:53 AM,63ʡF,53ʡF,70ʡ%,NNW,12ʡmph,0ʡmph,29.81ʡin,0.0ʡin,Fair,PHNL,1/12/2024
4,4:53 AM,61ʡF,54ʡF,78ʡ%,NW,10ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair,PHNL,1/12/2024
5,5:53 AM,60ʡF,54ʡF,80ʡ%,NW,7ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
6,6:53 AM,62ʡF,54ʡF,75ʡ%,W,6ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Fair,PHNL,1/12/2024
7,7:53 AM,63ʡF,55ʡF,75ʡ%,NW,7ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Fair,PHNL,1/12/2024
8,8:53 AM,68ʡF,54ʡF,61ʡ%,NNW,8ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
9,9:53 AM,70ʡF,55ʡF,59ʡ%,NW,13ʡmph,21ʡmph,29.92ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
10,10:53 AM,74ʡF,55ʡF,52ʡ%,N,10ʡmph,25ʡmph,29.90ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
11,11:53 AM,75ʡF,56ʡF,51ʡ%,N,15ʡmph,26ʡmph,29.88ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
12,12:37 PM,75ʡF,57ʡF,53ʡ%,NNW,15ʡmph,28ʡmph,29.86ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
13,12:53 PM,75ʡF,56ʡF,51ʡ%,NNW,16ʡmph,26ʡmph,29.85ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
14,1:53 PM,70ʡF,60ʡF,71ʡ%,NNW,15ʡmph,39ʡmph,29.84ʡin,0.0ʡin,Light Rain,PHNL,1/12/2024
15,2:28 PM,67ʡF,63ʡF,87ʡ%,N,14ʡmph,23ʡmph,29.84ʡin,0.0ʡin,Light Rain,PHNL,1/12/2024
16,2:53 PM,71ʡF,60ʡF,68ʡ%,NW,14ʡmph,21ʡmph,29.84ʡin,0.0ʡin,Mostly Cloudy,PHNL,1/12/2024
17,3:53 PM,71ʡF,61ʡF,70ʡ%,NW,20ʡmph,25ʡmph,29.84ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
18,4:53 PM,69ʡF,60ʡF,73ʡ%,NNW,15ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Mostly Cloudy,PHNL,1/12/2024
19,5:53 PM,68ʡF,59ʡF,73ʡ%,N,12ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
20,6:53 PM,67ʡF,59ʡF,76ʡ%,NW,7ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
21,7:53 PM,66ʡF,59ʡF,78ʡ%,NW,7ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Mostly Cloudy,PHNL,1/12/2024
22,8:53 PM,65ʡF,59ʡF,81ʡ%,NW,7ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
23,9:53 PM,65ʡF,58ʡF,78ʡ%,NNW,7ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
24,10:53 PM,67ʡF,56ʡF,68ʡ%,NNW,8ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Mostly Cloudy,PHNL,1/12/2024
25,11:53 PM,65ʡF,56ʡF,73ʡ%,WNW,7ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Fair,PHNL,1/12/2024
26,,,,,,,,,,,PHNL,1/12/2024
